UV-Vis Spectrum of Solution of Ferrocene in anhydrous Acetone
wavelength,absorbance
700.4,-0.00284818
700.3,-0.00283917
700.2,-0.00281517
700.1,-0.00281732
700,-0.00280986
699.9,-0.00282729
699.8,-0.00283135
699.7,-0.0028249
699.6,-0.00283421
699.5,-0.00283612
699.4,-0.0028489
699.3,-0.00284723
699.2,-0.00285696
699.1,-0.0028261
699,-0.00281786
698.9,-0.00281326
698.8,-0.00278544
698.7,-0.002787
698.6,-0.00279362
698.5,-0.00280138
698.4,-0.00281839
698.3,-0.00281959
698.2,-0.0028126
698.1,-0.00280693
698,-0.00279613
697.9,-0.00279947
697.8,-0.00277022
697.7,-0.00275607
697.6,-0.00275339
697.5,-0.00274187
697.4,-0.00276694
697.3,-0.00276097
697.2,-0.00277512
697.1,-0.00277279
697,-0.00275315
696.9,-0.00274545
696.8,-0.00271315
696.7,-0.00272945
696.6,-0.00273858
696.5,-0.00274533
696.4,-0.00275261
696.3,-0.00275846
696.2,-0.00274873
696.1,-0.00277315
696,-0.00276455
695.9,-0.0027387
695.8,-0.00275082
695.7,-0.00272927
695.6,-0.00274605
695.5,-0.00276145
695.4,-0.00275613
695.3,-0.0027627
695.2,-0.00275112
695.1,-0.00272109
695,-0.00271471
694.9,-0.00270444
694.8,-0.00268713
694.7,-0.00269184
694.6,-0.00269853
694.5,-0.00269501
694.4,-0.00267716
694.3,-0.00266152
694.2,-0.00263185
694.1,-0.00260923
694,-0.00261352
693.9,-0.00261335
693.8,-0.00262749
693.7,-0.00265525
693.6,-0.00264379
693.5,-0.00266343
693.4,-0.00266982
693.3,-0.00264218
693.2,-0.00266862
693.1,-0.00263728
693,-0.00262296
692.9,-0.00262558
692.8,-0.00260636
692.7,-0.00260887
692.6,-0.00261102
692.5,-0.00260529
692.4,-0.00259293
692.3,-0.0025881
692.2,-0.00257598
692.1,-0.00257299
692,-0.00259221
691.9,-0.002606
691.8,-0.00261908
691.7,-0.00261991
691.6,-0.00261812
691.5,-0.00260732
691.4,-0.00259168
691.3,-0.00258284
691.2,-0.00257502
691.1,-0.00257031
691,-0.00256499
690.9,-0.00256941
690.8,-0.00255461
690.7,-0.00253413
690.6,-0.00252452
690.5,-0.00250625
690.4,-0.00250136
690.3,-0.00251354
690.2,-0.00252631
690.1,-0.00254482
690,-0.00256398
689.9,-0.00257347
689.8,-0.00256356
689.7,-0.00255831
689.6,-0.00254374
689.5,-0.00252876
689.4,-0.00251598
689.3,-0.00250279
689.2,-0.00249921
689.1,-0.00249258
689,-0.00248841
688.9,-0.00248029
688.8,-0.00248291
688.7,-0.00249199
688.6,-0.00249485
688.5,-0.00251043
688.4,-0.00252613
688.3,-0.00252589
688.2,-0.00253891
688.1,-0.0025238
688,-0.00252375
687.9,-0.00251598
687.8,-0.0025004
687.7,-0.0025062
687.6,-0.00248524
687.5,-0.0025047
687.4,-0.00249587
687.3,-0.00248811
687.2,-0.00248769
687.1,-0.00246769
687,-0.00249169
686.9,-0.00248357
686.8,-0.00247145
686.7,-0.00246751
686.6,-0.00244035
686.5,-0.00245343
686.4,-0.00246793
686.3,-0.00245671
686.2,-0.00247127
686.1,-0.0024499
686,-0.00244376
685.9,-0.00244113
685.8,-0.00242674
685.7,-0.00245343
685.6,-0.00244578
685.5,-0.00244071
685.4,-0.00245187
685.3,-0.00241815
685.2,-0.00241862
685.1,-0.00241683
685,-0.00240227
684.9,-0.00241683
684.8,-0.00241051
684.7,-0.00241158
684.6,-0.00240639
684.5,-0.00239516
684.4,-0.00238645
684.3,-0.00240137
684.2,-0.00240597
684.1,-0.0024157
684,-0.00242334
683.9,-0.00242871
683.8,-0.00242316
683.7,-0.00242668
683.6,-0.00243426
683.5,-0.0024391
683.4,-0.00243701
683.3,-0.00242561
683.2,-0.00240889
683.1,-0.00239451
683,-0.00240782
682.9,-0.00239958
682.8,-0.00239606
682.7,-0.00239439
682.6,-0.00237809
682.5,-0.00239188
682.4,-0.00239057
682.3,-0.00235702
682.2,-0.00235702
682.1,-0.00234544
682,-0.00235027
681.9,-0.00236932
681.8,-0.00235541
681.7,-0.00233052
681.6,-0.00229936
681.5,-0.00228688
681.4,-0.00229553
681.3,-0.00230061
681.2,-0.00233111
681.1,-0.00235272
681,-0.00233887
680.9,-0.00235087
680.8,-0.00232156
680.7,-0.00232526
680.6,-0.00233392
680.5,-0.0023421
680.4,-0.00234669
680.3,-0.00232729
680.2,-0.0023369
680.1,-0.00232383
680,-0.00233338
679.9,-0.00232992
679.8,-0.00230127
679.7,-0.00230897
679.6,-0.00229756
679.5,-0.00230168
679.4,-0.00229798
679.3,-0.00227112
679.2,-0.002295
679.1,-0.00229416
679,-0.00229995
678.9,-0.00231673
678.8,-0.00229559
678.7,-0.00227178
678.6,-0.00226491
678.5,-0.00224903
678.4,-0.00223315
678.3,-0.00224521
678.2,-0.00226646
678.1,-0.00225638
678,-0.00223375
677.9,-0.0022239
677.8,-0.00220187
677.7,-0.00221769
677.6,-0.00224665
677.5,-0.00225178
677.4,-0.00224271
677.3,-0.00221996
677.2,-0.00221226
677.1,-0.00219608
677,-0.00219155
676.9,-0.00221208
676.8,-0.00221011
676.7,-0.00221369
676.6,-0.00223578
676.5,-0.00220731
676.4,-0.00220516
676.3,-0.00221495
676.2,-0.0021974
676.1,-0.00220367
676,-0.00221101
675.9,-0.00219179
675.8,-0.0021663
675.7,-0.00216588
675.6,-0.00216588
675.5,-0.00217018
675.4,-0.00219053
675.3,-0.00216092
675.2,-0.00213758
675.1,-0.00211615
675,-0.00211765
